Gene,Elicitor,Time (min),log2FC,Fold change,95% CI,FDR
PDE1,3.OH10,180,0.52,1.43,0.19 to 0.84,0.034
PDE1,OGs,30,0.94,1.92,0.62 to 1.26,1.1e-07
PDE1,OGs,90,1.24,2.37,0.90 to 1.59,4.7e-11
PDE1,OGs,180,0.86,1.81,0.53 to 1.18,9.1e-06
PDE1,Pep1,30,0.79,1.73,0.47 to 1.11,2.0e-05
PDE1,Pep1,90,1.49,2.81,1.17 to 1.81,1.4e-18
PDE1,Pep1,180,1.36,2.57,1.04 to 1.68,2.9e-15
PDE1,chitooct,30,0.50,1.41,0.17 to 0.82,0.028
PDE1,chitooct,90,0.79,1.73,0.46 to 1.11,6.3e-05
PDE1,elf18,30,1.09,2.13,0.77 to 1.41,3.7e-10
PDE1,elf18,90,1.85,3.61,1.51 to 2.19,4.5e-25
PDE1,elf18,180,1.09,2.12,0.77 to 1.41,5.5e-10
PDE1,flg22,30,1.02,2.02,0.70 to 1.34,7.7e-09
PDE1,flg22,90,2.99,7.93,2.67 to 3.30,1.7e-75
PDE1,flg22,180,2.25,4.75,1.93 to 2.56,1.2e-42
PDE1,nlp20,90,2.10,4.28,1.76 to 2.44,6.0e-32
PDE1,nlp20,180,1.70,3.25,1.36 to 2.04,5.2e-21
PR1,OGs,10,-3.39,0.10,-5.39 to -1.39,0.030
AT5G40270,Pep1,90,-0.65,0.64,-0.98 to -0.32,4.9e-04
AT5G40270,elf18,90,-0.73,0.60,-1.10 to -0.37,3.2e-04
AT5G40270,flg22,90,-0.82,0.57,-1.17 to -0.48,1.2e-05
AT5G40270,flg22,180,-0.46,0.73,-0.80 to -0.12,0.015
AT5G40270,nlp20,90,-0.71,0.61,-1.07 to -0.34,6.9e-04
AT1G14520,OGs,30,0.72,1.65,0.22 to 1.22,0.028
AT1G14520,OGs,90,-0.89,0.54,-1.46 to -0.31,0.012
AT1G14520,OGs,180,-0.99,0.51,-1.49 to -0.48,0.002
AT1G14520,Pep1,180,-0.73,0.60,-1.23 to -0.23,0.013
AT1G14520,elf18,90,-1.30,0.41,-1.90 to -0.71,8.2e-05
AT1G14520,elf18,180,-1.04,0.49,-1.55 to -0.53,3.1e-04
AT1G14520,flg22,90,-0.87,0.55,-1.40 to -0.33,0.004
AT1G14520,flg22,180,-2.01,0.25,-2.56 to -1.47,3.7e-12
AT1G14520,nlp20,90,-0.99,0.50,-1.57 to -0.41,0.003
AT1G14520,nlp20,180,-1.13,0.46,-1.68 to -0.58,3.4e-04
AT2G19800,OGs,30,1.23,2.34,0.84 to 1.61,6.0e-09
AT2G19800,Pep1,30,0.93,1.91,0.55 to 1.32,2.2e-05
AT2G19800,chitooct,30,0.70,1.63,0.32 to 1.09,0.004
AT2G19800,elf18,30,1.07,2.10,0.68 to 1.45,6.4e-07
AT2G19800,flg22,30,0.82,1.76,0.43 to 1.20,2.8e-04
AT2G19800,flg22,90,1.38,2.60,0.99 to 1.76,1.6e-11
AT2G19800,flg22,180,1.44,2.71,1.05 to 1.82,1.5e-12
AT2G19800,nlp20,30,0.68,1.61,0.30 to 1.07,0.006
AT1G26160,flg22,90,-0.43,0.74,-0.68 to -0.18,0.002
AT4G02260,OGs,90,-0.33,0.80,-0.58 to -0.07,0.045
AT4G02260,Pep1,90,-0.34,0.79,-0.57 to -0.10,0.015
AT4G02260,flg22,90,-0.30,0.81,-0.53 to -0.06,0.028
AT4G02260,nlp20,90,-0.32,0.80,-0.58 to -0.07,0.035
AT4G02260,nlp20,180,-0.32,0.80,-0.58 to -0.07,0.036
