Section,Gene,Context,N cells,Positive cells,% detected,Statistical / descriptive result
Broad cell type,PDE1,AvrRpm1 | 04h | Epidermis,950,62,6.53,Descriptive
Broad cell type,PDE1,AvrRpm1 | 04h | Mesophyll,4145,209,5.04,Descriptive
Broad cell type,PDE1,AvrRpm1 | 06h | Epidermis,232,15,6.47,Descriptive
Broad cell type,PDE1,AvrRpm1 | 06h | Mesophyll,1150,86,7.48,Descriptive
Broad cell type,PDE1,AvrRpm1 | 09h | Epidermis,648,39,6.02,Descriptive
Broad cell type,PDE1,AvrRpm1 | 09h | Mesophyll,2692,147,5.46,Descriptive
Broad cell type,PDE1,AvrRpm1 | 24h | Epidermis,353,17,4.82,Descriptive
Broad cell type,PDE1,AvrRpm1 | 24h | Mesophyll,3901,189,4.84,Descriptive
Broad cell type,PDE1,AvrRpt2 | 04h | Epidermis,645,15,2.33,Descriptive
Broad cell type,PDE1,AvrRpt2 | 04h | Mesophyll,2365,52,2.20,Descriptive
Broad cell type,PDE1,AvrRpt2 | 06h | Epidermis,201,5,2.49,Descriptive
Broad cell type,PDE1,AvrRpt2 | 06h | Vasculature,245,9,3.67,Descriptive
Broad cell type,PDE1,AvrRpt2 | 09h | Mesophyll,9520,474,4.98,Descriptive
Broad cell type,PDE1,AvrRpt2 | 09h | Unknown,334,16,4.79,Descriptive
Broad cell type,PDE1,AvrRpt2 | 24h | Mesophyll,838,36,4.30,Descriptive
Broad cell type,PDE1,AvrRpt2 | 24h | Unknown,21,2,9.52,Descriptive
Broad cell type,PDE1,DC3000 | 04h | Epidermis,455,15,3.30,Descriptive
Broad cell type,PDE1,DC3000 | 04h | Vasculature,552,11,1.99,Descriptive
Broad cell type,PDE1,DC3000 | 06h | Unknown,60,1,1.67,Descriptive
Broad cell type,PDE1,DC3000 | 06h | Vasculature,630,10,1.59,Descriptive
Broad cell type,PDE1,DC3000 | 09h | Epidermis,674,6,0.89,Descriptive
Broad cell type,PDE1,DC3000 | 09h | Vasculature,596,6,1.01,Descriptive
Broad cell type,PDE1,DC3000 | 24h | Epidermis,209,4,1.91,Descriptive
Broad cell type,PDE1,DC3000 | 24h | Mesophyll,1758,33,1.88,Descriptive
Broad cell type,PDE1,Mock | Mock | Epidermis,2862,61,2.13,Descriptive
Broad cell type,PDE1,Mock | Mock | Vasculature,2818,40,1.42,Descriptive
Major cluster,PDE1,Cluster 0 | Epidermis,,,2.61,Fisher FDR = 0.034
Major cluster,PDE1,Cluster 1 | Mesophyll,,,2.26,Fisher FDR =  1.1e-04
Major cluster,PDE1,Cluster 10 | Vasculature,,,2.10,Fisher FDR = 0.009
Major cluster,PDE1,Cluster 12 | Epidermis,,,6.52,Fisher FDR =  1.3e-11
Major cluster,PDE1,Cluster 2 | Mesophyll,,,1.83,Fisher FDR =  1.2e-08
Major cluster,PDE1,Cluster 3 | Mesophyll,,,6.17,Fisher FDR =  5.4e-30
Major cluster,PDE1,Cluster 4 | Mesophyll,,,3.96,Fisher FDR = 0.007
Major cluster,PDE1,Cluster 5 | Mesophyll,,,1.99,Fisher FDR =  6.2e-06
